ml_dataset_index,pista_raw,responsável,1-jogo-de-palavras-anagrama-cacofonia,2-ref-visual-observavel-team-rua,3-criptografia,4-ref-historica-mitologia,5-cultura-pop-conhecimento-geral,6-ref-interna-cidade-universitaria,7-ref-externa-campus,8-caminho-trajetória-roteiro,9-manipular-imagens,10-busca-listas-elencaçoes-clusters,11-links-site-integra-daquele-ano,12-tarefa-não-papel,Método_agregado,autor_raw,macro_raw,micro_raw,explicação_raw,interna_raw,tem_texto?,tem_explicação?,tem_macro?,é_papel?,ano,revisar?,rotulado_metodo,link,2017_respostas,2016_observaçao,2015_dificuldade,prompt,prompt_pista,macro_depara
ML_2019_00152,Bancarios desorganizados,,,,,,,,,,,,,,,,Reitoria,Sino Cabra,Bancarios é anagrama de Sino Cabra,,TRUE,TRUE,TRUE,,2019,,,,,,,||Pista: Bancarios desorganizados | Explicação: Bancarios é anagrama de Sino Cabra | Macro: Reitoria | Micro: Sino Cabra,||Pista: Bancarios desorganizados,Reitoria Nova
ML_2019_00060,Bandeau: um artefato especialmente elegante para uma era mais civilizada,,,,,,,,,,,,,,,,ODONTO,LELO: Laboratório especial de laser em odontologia(no estacionamento da odonto),"Bandeau era um tipo de aparelho dentário, a segunda frase é uma referência a sabre de luz",,TRUE,TRUE,TRUE,,2019,,,,,,,"||Pista: Bandeau: um artefato especialmente elegante para uma era mais civilizada | Explicação: Bandeau era um tipo de aparelho dentário, a segunda frase é uma referência a sabre de luz | Macro: ODONTO | Micro: LELO: Laboratório especial de laser em odontologia(no estacionamento da odonto)",||Pista: Bandeau: um artefato especialmente elegante para uma era mais civilizada,Odonto
ML_2022_00071,,,,,,,,,,,,,,,,,Praça Relógio Solar,Caminhozinho,"É o mapa visto de cima, os traços estão de acordo com o maps da praça do relogio solar. Está faltando um caminho na esquerda, onde esta a pista",,FALSE,TRUE,TRUE,,2022,,,,,,,"||Pista:  | Explicação: É o mapa visto de cima, os traços estão de acordo com o maps da praça do relogio solar. Está faltando um caminho na esquerda, onde esta a pista | Macro: Praça Relógio Solar | Micro: Caminhozinho",,Praça de Relógio Solar
ML_2022_00330,Barclays: referência em ESG,,,,,,,,,,,,,,,,Bio,Banco com apoio em formato de leão,"ESG leva diretamente à Bio
 Barclays é um banco cujo simbolo é um leão. Está nos bancos cujos pés são esculturas de leão, perto do CA da Bio.",,TRUE,TRUE,TRUE,,2022,,,,,,,"||Pista: Barclays: referência em ESG | Explicação: ESG leva diretamente à Bio
 Barclays é um banco cujo simbolo é um leão. Está nos bancos cujos pés são esculturas de leão, perto do CA da Bio. | Macro: Bio | Micro: Banco com apoio em formato de leão",||Pista: Barclays: referência em ESG,Bio
ML_2019_00337,Barnsley Person admirava o aquário de parasitas,,,,,,,,,,,,,,,,ICB II,aquario de parasitas,"Barnsley Person faz referencia a Samuel Barnsley Pessoa (dá pra encontrar no google buscando Barnsley Pessoa), um parasitologista, portanto ICB. aquário de parasitas faz referencia aos parasitas exibidos, vistos atraves do vidro, dessa forma, um aquario de parasitas.",,TRUE,TRUE,TRUE,,2019,,,,,,,"||Pista: Barnsley Person admirava o aquário de parasitas | Explicação: Barnsley Person faz referencia a Samuel Barnsley Pessoa (dá pra encontrar no google buscando Barnsley Pessoa), um parasitologista, portanto ICB. aquário de parasitas faz referencia aos parasitas exibidos, vistos atraves do vidro, dessa forma, um aquario de parasitas. | Macro: ICB II | Micro: aquario de parasitas",||Pista: Barnsley Person admirava o aquário de parasitas,ICB
ML_2023_00225,Basta rir glgvn invertido,,,,,,,,,,,,,,,Buchalla,IRI,Totem,"invertido (atbash), rir vira iri e glgvn vira totem",,TRUE,TRUE,TRUE,,2023,,,,,,,"||Pista: Basta rir glgvn invertido | Explicação: invertido (atbash), rir vira iri e glgvn vira totem | Macro: IRI | Micro: Totem",||Pista: Basta rir glgvn invertido,RI
ML_2022_00275,BBBBBBBBBBX,,,,,,,,,,,,,,,,Instituto Butanta,11o B na parede do instituto butantan,"Os vários Bs seguidos levam à parede no instituto butantan, as quais tem os Bs grifados. Ao seguir para o 11o B, no qual está o X, voce acha a pista",,TRUE,TRUE,TRUE,,2022,,,,,,,"||Pista: BBBBBBBBBBX | Explicação: Os vários Bs seguidos levam à parede no instituto butantan, as quais tem os Bs grifados. Ao seguir para o 11o B, no qual está o X, voce acha a pista | Macro: Instituto Butanta | Micro: 11o B na parede do instituto butantan",||Pista: BBBBBBBBBBX,Butantã
ML_2022_00342,"be wary of weapon
 illusion ahead",,,,,,,,,,,,,,,,Portão São Remo,Porta sozinha na parede,"be wary of weapon -> frase de darksouls, wary of weapon -> portao sao remo.
 

 lá, existe uma porta sozinha na parede, que faz referência à frase ""illusion ahead"" da franquia darksouls, indicando que há uma passagem inesperada",,TRUE,TRUE,TRUE,,2022,,,,,,,"||Pista: be wary of weapon
 illusion ahead | Explicação: be wary of weapon -> frase de darksouls, wary of weapon -> portao sao remo.
 

 lá, existe uma porta sozinha na parede, que faz referência à frase ""illusion ahead"" da franquia darksouls, indicando que há uma passagem inesperada | Macro: Portão São Remo | Micro: Porta sozinha na parede","||Pista: be wary of weapon
 illusion ahead",Portão São Remo
ML_2022_00017,Bebi aqui com 51 de prets camuflados e suas armas,,,,,,,,,,,,,,,,Rádio USP,Praça da Ideia,"51 é uma boa ideia, e de prets camulflados é praça (exercito). Praça da ideia é a praça da radio usp",,TRUE,TRUE,TRUE,,2022,,,,,,,"||Pista: Bebi aqui com 51 de prets camuflados e suas armas | Explicação: 51 é uma boa ideia, e de prets camulflados é praça (exercito). Praça da ideia é a praça da radio usp | Macro: Rádio USP | Micro: Praça da Ideia",||Pista: Bebi aqui com 51 de prets camuflados e suas armas,RadioTV + Pracinha do Lado
ML_2019_00277,Bela Emilia usava um sapatinho de judia quando estava envolta pelo carpinteiro.,Reunião,,1,,,1,1,,,,,,,"ref_visual,ref_interna,cultura_pop",,IF,Trepadeiras entre os dois blocos dos predios Alessandro Volta,"Bela emilia e Sapatinho de judia sao plantas trepadeiras; ao buscar o carpinteiro, a busca dá em uma musica de um cantor Alessandro Vilas Boas.
 Usando o primeiro nome do cantor, e a referencia ""envolta"" conseguimos chegar a Alessandro Volta, prédio do IF. As trepadeiras se encontram envoltas por dois prédios Alessandro Volta.",,TRUE,TRUE,TRUE,,2019,,TRUE,,,,,"||Pista: Bela Emilia usava um sapatinho de judia quando estava envolta pelo carpinteiro. | Explicação: Bela emilia e Sapatinho de judia sao plantas trepadeiras; ao buscar o carpinteiro, a busca dá em uma musica de um cantor Alessandro Vilas Boas.
 Usando o primeiro nome do cantor, e a referencia ""envolta"" conseguimos chegar a Alessandro Volta, prédio do IF. As trepadeiras se encontram envoltas por dois prédios Alessandro Volta. | Macro: IF | Micro: Trepadeiras entre os dois blocos dos predios Alessandro Volta",||Pista: Bela Emilia usava um sapatinho de judia quando estava envolta pelo carpinteiro.,IF
ML_2017_00115,Bem que diziam que a galera ficava alta nas festas antigamente,,,,,,,,,,,,,,,corrupto,Velodromo,antena da sky,festas antigamente = velodromo ; ficar alto = antena da sky,Interna,TRUE,TRUE,TRUE,,2017,,,,Antena da sky no velodromo,,,||Pista: Bem que diziam que a galera ficava alta nas festas antigamente | Explicação: festas antigamente = velodromo ; ficar alto = antena da sky | Macro: Velodromo | Micro: antena da sky,||Pista: Bem que diziam que a galera ficava alta nas festas antigamente,#N/A
ML_2015_00016,Bem vindo ao refeitório do instituto Benjamenta,,,,,,,,,,,,,,,Henrique,FEA,Guarda-sol do Sweden,"No Instituto Benjamenta os alunos são treinados a servir, levando ao macro, FEA. Esconder de Rá, o deus do Sol, leva ao guarda-sol.",Externa,TRUE,TRUE,TRUE,,2015,,,,,,2,"||Pista: Bem vindo ao refeitório do instituto Benjamenta | Explicação: No Instituto Benjamenta os alunos são treinados a servir, levando ao macro, FEA. Esconder de Rá, o deus do Sol, leva ao guarda-sol. | Macro: FEA | Micro: Guarda-sol do Sweden",||Pista: Bem vindo ao refeitório do instituto Benjamenta,FEA
ML_2023_00265,"Bem, bem lá pelas alturas
 Corremos e voltamos
 Flores estão próximas!",,,,,,,,,,,,,,,Budinha,Física - Alessandro Volta,homenagem a shigeo watanabe,"pista tem mesma contagem de sílabas que poema na placa da homenagem. primeira linha remete a morro da coruja, segunda a corredor do alessandro volta, terceira a jardim das flores.",,TRUE,TRUE,TRUE,,2023,,,,,,,"||Pista: Bem, bem lá pelas alturas
 Corremos e voltamos
 Flores estão próximas! | Explicação: pista tem mesma contagem de sílabas que poema na placa da homenagem. primeira linha remete a morro da coruja, segunda a corredor do alessandro volta, terceira a jardim das flores. | Macro: Física - Alessandro Volta | Micro: homenagem a shigeo watanabe","||Pista: Bem, bem lá pelas alturas
 Corremos e voltamos
 Flores estão próximas!",IF
ML_2016_00200,Bete Varella é muito fã de Pokemon.,,,,,,,,,,,,,,,Massa,FÍSICA,"Luminária na 
 Praça Elisabeth
 Ethiene Varella",CAM desafio… Qual será o micro que aceitaremos?,,TRUE,TRUE,TRUE,,2016,,,,,,,"||Pista: Bete Varella é muito fã de Pokemon. | Explicação: CAM desafio… Qual será o micro que aceitaremos? | Macro: FÍSICA | Micro: Luminária na 
 Praça Elisabeth
 Ethiene Varella",||Pista: Bete Varella é muito fã de Pokemon.,IF
ML_2016_00217,Bete Varella é muito fã de Pokemon.,Dose,,,,,1,1,,,,,,,,Massa,FÍSICA,"Luminária na 
 Praça Elisabeth
 Ethiene Varella","Bete Varella remete à Elisabeth Ethiene Varella,  finada funcionária do IF, que cede nome a uma  praça no próprio IF. As luminárias do IF possuem formado de pokebolas.",Externa,TRUE,TRUE,TRUE,,2016,,TRUE,,,"Macro vasto e usual.
 Micro muito bem definido.",,"||Pista: Bete Varella é muito fã de Pokemon. | Explicação: Bete Varella remete à Elisabeth Ethiene Varella,  finada funcionária do IF, que cede nome a uma  praça no próprio IF. As luminárias do IF possuem formado de pokebolas. | Macro: FÍSICA | Micro: Luminária na 
 Praça Elisabeth
 Ethiene Varella",||Pista: Bete Varella é muito fã de Pokemon.,IF
ML_2015_00141,"Big Brother Brasil, exclusivo nos canais 13 ao 17 de sua TV!",Massa,,1,,,1,1,,,,,,,,Bracco,FARMA,"Placa ""Faculdade 24h monitorada""","A Farma vai do bloco 13 até o 17 do conjunto das químicas. ""Big Brother"" remete a ""estar sempre sendo vigiado""",Externa,TRUE,TRUE,TRUE,,2015,,TRUE,,,,4,"||Pista: Big Brother Brasil, exclusivo nos canais 13 ao 17 de sua TV! | Explicação: A Farma vai do bloco 13 até o 17 do conjunto das químicas. ""Big Brother"" remete a ""estar sempre sendo vigiado"" | Macro: FARMA | Micro: Placa ""Faculdade 24h monitorada""","||Pista: Big Brother Brasil, exclusivo nos canais 13 ao 17 de sua TV!",Químicas
ML_2020_00135,"BIZ0101 - Audição em Fossas
 Oferecimento - Prof. S.A.V.",Frodo,,,,,,,,,,,,,,,Bio,Parede do auditorio Prof. SAV,BIZ > departamento de zoologia; 101 > número de endereço desse departamento; Audição em fossas > buracos na parede do auditório; Prof. SAV > Professor homenageado com nome do auditório,,TRUE,TRUE,TRUE,,2020,,,,,,,"||Pista: BIZ0101 - Audição em Fossas
 Oferecimento - Prof. S.A.V. | Explicação: BIZ > departamento de zoologia; 101 > número de endereço desse departamento; Audição em fossas > buracos na parede do auditório; Prof. SAV > Professor homenageado com nome do auditório | Macro: Bio | Micro: Parede do auditorio Prof. SAV","||Pista: BIZ0101 - Audição em Fossas
 Oferecimento - Prof. S.A.V.",Bio
ML_2023_00141,Blaise usou o seu nome e depois o do seu xará oanueiktnbgiqhxy,Pescoço,,,1,,,,,,,,,,,Buchalla,Parque Esporte para Todos,Entrada ou totem,Blaise Pascal e Blaise Vigenere - vigenere duas vezes uma com pascal e outra com vigenere como chaves - forma esporte para todos,,TRUE,TRUE,TRUE,,2023,,TRUE,,,,,||Pista: Blaise usou o seu nome e depois o do seu xará oanueiktnbgiqhxy | Explicação: Blaise Pascal e Blaise Vigenere - vigenere duas vezes uma com pascal e outra com vigenere como chaves - forma esporte para todos | Macro: Parque Esporte para Todos | Micro: Entrada ou totem,||Pista: Blaise usou o seu nome e depois o do seu xará oanueiktnbgiqhxy,Parque Esporte para todos
ML_2016_00009,Boleta enviou minha carta depois do horário.,Favela,1,,,,1,,1,,,,,,,Massa,FFLCH - HISTÓRIA E GEOGRAFIA,LabTeo,"Enviar uma correspondência depois do horário limite, gera o chamado DH (depois do horário) nos Correios.
 Na USP, DH é o departamento de História.
 ""Boleta"" é um anagrama para o LabTeo.",Invadível,TRUE,TRUE,TRUE,,2016,,TRUE,,,"Macro vasto e usual.
 Micro genérico.",,"||Pista: Boleta enviou minha carta depois do horário. | Explicação: Enviar uma correspondência depois do horário limite, gera o chamado DH (depois do horário) nos Correios.
 Na USP, DH é o departamento de História.
 ""Boleta"" é um anagrama para o LabTeo. | Macro: FFLCH - HISTÓRIA E GEOGRAFIA | Micro: LabTeo",||Pista: Boleta enviou minha carta depois do horário.,FFLCH (Sem contar Adm)
ML_2022_00207,Bons costumes dizem para não dar tapas em paredes,,,,,,,,,,,,,,,,Educação,Mão na parede,"bons costumes é educação, na parede de lá tem uma mão na parede -> tapa em paredes",,TRUE,TRUE,TRUE,,2022,,,,,,,"||Pista: Bons costumes dizem para não dar tapas em paredes | Explicação: bons costumes é educação, na parede de lá tem uma mão na parede -> tapa em paredes | Macro: Educação | Micro: Mão na parede",||Pista: Bons costumes dizem para não dar tapas em paredes,Faculdade de Educação
ML_2019_00101,Bravo uniform romeo alfa charlie oscar sierra delta oscar delta echo golf romeo alfa uniform,,,,,,,,,,,,,,,,IO,Degrau com buraco entre os dois prédios,"código NATO -OTAN- que descreve ""buracos do degrau""",,TRUE,TRUE,TRUE,,2019,,,,,,,"||Pista: Bravo uniform romeo alfa charlie oscar sierra delta oscar delta echo golf romeo alfa uniform | Explicação: código NATO -OTAN- que descreve ""buracos do degrau"" | Macro: IO | Micro: Degrau com buraco entre os dois prédios",||Pista: Bravo uniform romeo alfa charlie oscar sierra delta oscar delta echo golf romeo alfa uniform,IO
ML_2023_00335,"Brigar com o Arrasca? Não sou eu, só perdemos tudo 5 vezes",,,,,,,,,,,,,,,Kley,Praça 5,--,Brigar com o arrasca = Carlos Alberto // Não sou eu = Outro Carlos Alberto = Carlos Alberto Nóbrega = A praça é nossa // Perdemos tudo = ela não é mais nossa // 5 vezes = Praça 5,,TRUE,TRUE,TRUE,,2023,,,,,,,"||Pista: Brigar com o Arrasca? Não sou eu, só perdemos tudo 5 vezes | Explicação: Brigar com o arrasca = Carlos Alberto // Não sou eu = Outro Carlos Alberto = Carlos Alberto Nóbrega = A praça é nossa // Perdemos tudo = ela não é mais nossa // 5 vezes = Praça 5 | Macro: Praça 5 | Micro: --","||Pista: Brigar com o Arrasca? Não sou eu, só perdemos tudo 5 vezes",#N/A
ML_2022_00091,,,,,,,,,,,,,,,,,P',Espelho de carros,"Dos dois lados há formulas da fisica otica com o p' igualado. O macro é p1, pela formula e o micro o espelho, por contexto",,FALSE,TRUE,TRUE,,2022,,,,,,,"||Pista:  | Explicação: Dos dois lados há formulas da fisica otica com o p' igualado. O macro é p1, pela formula e o micro o espelho, por contexto | Macro: P' | Micro: Espelho de carros",,P'
ML_2020_00189,"BT, GN e LC: saídas da primeira voz infantil.",,,,,,,,,,,,,,,,Monumento Brasil-Japão,,"primeira voz infantil -> The Voice Kids Brasil - 1a temporada. BT, GN e LC -> iniciais de Bia Torres, Giulia Nassa e Laura Castro (participantes dessa temporada que formaram um girl group chamado BFF girls. BFF -> monumento da amizade eterna entre brasil e japao",,TRUE,TRUE,TRUE,,2020,,,,,,,"||Pista: BT, GN e LC: saídas da primeira voz infantil. | Explicação: primeira voz infantil -> The Voice Kids Brasil - 1a temporada. BT, GN e LC -> iniciais de Bia Torres, Giulia Nassa e Laura Castro (participantes dessa temporada que formaram um girl group chamado BFF girls. BFF -> monumento da amizade eterna entre brasil e japao | Macro: Monumento Brasil-Japão | Micro: ","||Pista: BT, GN e LC: saídas da primeira voz infantil.",Casa de Cultura Japonesa
ML_2019_00270,"Bubo, de sua casa, via o gyros não grego.",,,,,,,,,,,,,,,,PSICO,"ARVORE COM ""BURACO DE CORUJA"" EM FRENTE A CHURRASQUEIRA","Esta é uma pista só de micro. Não tem referencias a macro. 
 Isto dito, < gyros> é churrasco grego, se é um < gyrus nao grego> entao é só um churrasco. Nossos aventureiros devem procurar pelas churrasqueiras da USP, e a nossa é a da psico.
 Bubo é uma espécie de coruja, e como víamos nos desenhos de criança, elas moram em buracos em árvores. Tem uma árvore com um puta buraco desses em frente a churrasqueira, e pronto.",,TRUE,TRUE,TRUE,,2019,,,,,,,"||Pista: Bubo, de sua casa, via o gyros não grego. | Explicação: Esta é uma pista só de micro. Não tem referencias a macro. 
 Isto dito, < gyros> é churrasco grego, se é um < gyrus nao grego> entao é só um churrasco. Nossos aventureiros devem procurar pelas churrasqueiras da USP, e a nossa é a da psico.
 Bubo é uma espécie de coruja, e como víamos nos desenhos de criança, elas moram em buracos em árvores. Tem uma árvore com um puta buraco desses em frente a churrasqueira, e pronto. | Macro: PSICO | Micro: ARVORE COM ""BURACO DE CORUJA"" EM FRENTE A CHURRASQUEIRA","||Pista: Bubo, de sua casa, via o gyros não grego.",Psico
ML_2020_00160,Busque por mim .com e pelo material de que sou feita.,,,,,,,,,,,,,,,,IME,Árvore-de-papel,"O ""sujeito"" do texto é o papel da pista. As pessoas devem procurar ""arvore usp"" no google, que cai no site Arvores USP. Daí devem procurar as plantas notáveis dos institutos disponíveis lá (elas são representadas por um símbolo de pinheiro). O material de que a pista é feita seria o papel. No IME tem uma planta que chama Árvore-de-papel, e mostra a localização dela em um mapa. (Segue o link certinho que mostra a árvore do IME: https://www.google.com/maps/d/viewer?mid=1U_nXEt9we7HqwkWLtmyh8YLGbMA&ll=-23.55943935244843%2C-46.73166094999999&z=19)",,TRUE,TRUE,TRUE,,2020,,,,,,,"||Pista: Busque por mim .com e pelo material de que sou feita. | Explicação: O ""sujeito"" do texto é o papel da pista. As pessoas devem procurar ""arvore usp"" no google, que cai no site Arvores USP. Daí devem procurar as plantas notáveis dos institutos disponíveis lá (elas são representadas por um símbolo de pinheiro). O material de que a pista é feita seria o papel. No IME tem uma planta que chama Árvore-de-papel, e mostra a localização dela em um mapa. (Segue o link certinho que mostra a árvore do IME: https://www.google.com/maps/d/viewer?mid=1U_nXEt9we7HqwkWLtmyh8YLGbMA&ll=-23.55943935244843%2C-46.73166094999999&z=19) | Macro: IME | Micro: Árvore-de-papel",||Pista: Busque por mim .com e pelo material de que sou feita.,IME
ML_2022_00183,"C___
 A______
 D______
 (104-146)
 4257J
 1426V",,,,,,,,,,,,,,,,Edusp,Auriga,"Caio Apuleio Diocles, nascido em 104 e morto em 146 teve 4257 Jogos como auriga e 1426 Vitorias",,TRUE,TRUE,TRUE,,2022,,,,,,,"||Pista: C___
 A______
 D______
 (104-146)
 4257J
 1426V | Explicação: Caio Apuleio Diocles, nascido em 104 e morto em 146 teve 4257 Jogos como auriga e 1426 Vitorias | Macro: Edusp | Micro: Auriga","||Pista: C___
 A______
 D______
 (104-146)
 4257J
 1426V",Edusp
ML_2020_00174,C:\Network\poli_junior @ 4-25-91 6:51:21 3.058 FIREWALL ONLINE,Anitta,,,,,,,1,,,,,,,,N/A,Muro atrás do Mc/CPTM,"C:\Network\poli_junior > CNPJ; 42.591.651/2130-58 > McDonalds da Alvarenga; Firewall > muro atrás do McDonalds da Alvarenga, próximo à CPTM",,TRUE,TRUE,TRUE,,2020,,TRUE,,,,,"||Pista: C:\Network\poli_junior @ 4-25-91 6:51:21 3.058 FIREWALL ONLINE | Explicação: C:\Network\poli_junior > CNPJ; 42.591.651/2130-58 > McDonalds da Alvarenga; Firewall > muro atrás do McDonalds da Alvarenga, próximo à CPTM | Macro: N/A | Micro: Muro atrás do Mc/CPTM",||Pista: C:\Network\poli_junior @ 4-25-91 6:51:21 3.058 FIREWALL ONLINE,#N/A
ML_2022_00097,,,,,,,,,,,,,,,,,Parque Esporte para Todos,"Placa na Frente do Parque que acaba com ""Grato""","Tão ma = Matão, que par = parque, sem fins é pra tirar os finais e valeu é pra remeter a grato",,FALSE,TRUE,TRUE,,2022,,,,,,,"||Pista:  | Explicação: Tão ma = Matão, que par = parque, sem fins é pra tirar os finais e valeu é pra remeter a grato | Macro: Parque Esporte para Todos | Micro: Placa na Frente do Parque que acaba com ""Grato""",,Parque Esporte para todos
ML_2023_00168,CA Bauru foda,Anitta,1,,,,,,,,,,,,,Mapa,Fau,buraco,anagrama,,TRUE,TRUE,TRUE,,2023,,TRUE,,,,,||Pista: CA Bauru foda | Explicação: anagrama | Macro: Fau | Micro: buraco,||Pista: CA Bauru foda,FAU
ML_2023_00204,Caçadores de Unicórnio também Coletam Diamante,,,,,,,,,,,,,,,Thomas,Ptrem,Palmeira Solar,"Caçadores de Unicórnio = Unicorn Hunters, Coletam Diamante = Carbon Collet = Episodio Mechanical Tree, que leva para Palmeira Solar",,TRUE,TRUE,TRUE,,2023,,,,,,,"||Pista: Caçadores de Unicórnio também Coletam Diamante | Explicação: Caçadores de Unicórnio = Unicorn Hunters, Coletam Diamante = Carbon Collet = Episodio Mechanical Tree, que leva para Palmeira Solar | Macro: Ptrem | Micro: Palmeira Solar",||Pista: Caçadores de Unicórnio também Coletam Diamante,P trem
ML_2019_00092,"Cada um tem a Jamaica que merece, mas os que dali fogem pra cá têm o perfil iluminado.",,,,,,,,,,,,,,,,FAU,Luminária na lateral,"Jamaica Brasileira é São Luis no Maranhão, fugiu da Rua Maranhão é a FAU. Perfil leva à lateral da FAU e lá estaria em uma luminária.",,TRUE,TRUE,TRUE,,2019,,,,,,,"||Pista: Cada um tem a Jamaica que merece, mas os que dali fogem pra cá têm o perfil iluminado. | Explicação: Jamaica Brasileira é São Luis no Maranhão, fugiu da Rua Maranhão é a FAU. Perfil leva à lateral da FAU e lá estaria em uma luminária. | Macro: FAU | Micro: Luminária na lateral","||Pista: Cada um tem a Jamaica que merece, mas os que dali fogem pra cá têm o perfil iluminado.",FAU
ML_2020_00102,Cadê as lógica por trás do que extinguiu os lagartos?,,,,,,,,,,,,,,,,IAG,Escada,"o que extinguiu os lagartos (dinossauros) > meteoro; lógica meteoro > ~ meteorologia > IAG; Cadê as > anagrama de ""escada""; Escada por trás do IAG",,TRUE,TRUE,TRUE,,2020,,,,,,,"||Pista: Cadê as lógica por trás do que extinguiu os lagartos? | Explicação: o que extinguiu os lagartos (dinossauros) > meteoro; lógica meteoro > ~ meteorologia > IAG; Cadê as > anagrama de ""escada""; Escada por trás do IAG | Macro: IAG | Micro: Escada",||Pista: Cadê as lógica por trás do que extinguiu os lagartos?,IAG
ML_2016_00226,Cadê o palóc?,Anitta,,,,,,1,,,,,,,,Massa,BRASILIANA,Entrada do auditório,"Palóc é uma etnia húngara.
 Pesquisando ""hungaro USP"", chega-se facilmente a István Jancsó, 
 um professor do curso de húngaro da FFLCH, que auxiliou na 
 implantação do projeto Brasiliana.
 Na Brasiliana, o auditório chama-se István Jancsó.",Externa,TRUE,TRUE,TRUE,,2016,,TRUE,,,"Macro usual.
 Micro genérico.",,"||Pista: Cadê o palóc? | Explicação: Palóc é uma etnia húngara.
 Pesquisando ""hungaro USP"", chega-se facilmente a István Jancsó, 
 um professor do curso de húngaro da FFLCH, que auxiliou na 
 implantação do projeto Brasiliana.
 Na Brasiliana, o auditório chama-se István Jancsó. | Macro: BRASILIANA | Micro: Entrada do auditório",||Pista: Cadê o palóc?,Brasiliana
ML_2016_00048,"Caí nua!
 Tudo culpa do V de Vingança!!!",,,,,,,,,,,,,,,Massa,CDI,V vermelho,"""Caí nua"" é um anagrama de AUCANI.
 No prédio novo, tem um V vermelho gigante no topo das escadas.",Externa,TRUE,TRUE,TRUE,,2016,,,,,"Macro novo.
 Micro bem determinado.",,"||Pista: Caí nua!
 Tudo culpa do V de Vingança!!! | Explicação: ""Caí nua"" é um anagrama de AUCANI.
 No prédio novo, tem um V vermelho gigante no topo das escadas. | Macro: CDI | Micro: V vermelho","||Pista: Caí nua!
 Tudo culpa do V de Vingança!!!",CDI
ML_2014_00007,"Cálculo é bem ensinado na Poli? Na UNESP acham que sim: ""Eles conseguem subir rápido para o segundo nível""",,,,,,,,,,,,,,,,Tese de mestrado da unesp falando de JOMonteiro de Carvalho que é o nome do prédio do bienio. Pista está na porta de vidro perto do elevador,,"Tese de mestrado da unesp falando de JOMonteiro de Carvalho que é o nome do prédio do bienio. Pista está na porta de vidro perto do elevador, por isso segundo nível",,TRUE,TRUE,TRUE,,2014,,,,,,,"||Pista: Cálculo é bem ensinado na Poli? Na UNESP acham que sim: ""Eles conseguem subir rápido para o segundo nível"" | Explicação: Tese de mestrado da unesp falando de JOMonteiro de Carvalho que é o nome do prédio do bienio. Pista está na porta de vidro perto do elevador, por isso segundo nível | Macro: Tese de mestrado da unesp falando de JOMonteiro de Carvalho que é o nome do prédio do bienio. Pista está na porta de vidro perto do elevador | Micro: ","||Pista: Cálculo é bem ensinado na Poli? Na UNESP acham que sim: ""Eles conseguem subir rápido para o segundo nível""",Poli sem Poli Quimica
ML_2015_00137,Caminhei sozinho pela rua sem entender.,,,,,,,,,,,,,,,Fernando,BANCOS,Santander,Sem entender = Santander,Externa,TRUE,TRUE,TRUE,,2015,,,,,,2,||Pista: Caminhei sozinho pela rua sem entender. | Explicação: Sem entender = Santander | Macro: BANCOS | Micro: Santander,||Pista: Caminhei sozinho pela rua sem entender.,Bancos
ML_2023_00089,"Cansado de estudar o modelo de mercado, inverteu a ordem para achar o que queria",,,,,,,,,,,,,,,Mapa,FEA,CAVC,"A pista faz referência aos economistas. Ao invertermos a ordem de chegamos em Mercado Modelo, lugar de salvador que fica na praça visconde de cairu.",,TRUE,TRUE,TRUE,,2023,,,,,,,"||Pista: Cansado de estudar o modelo de mercado, inverteu a ordem para achar o que queria | Explicação: A pista faz referência aos economistas. Ao invertermos a ordem de chegamos em Mercado Modelo, lugar de salvador que fica na praça visconde de cairu. | Macro: FEA | Micro: CAVC","||Pista: Cansado de estudar o modelo de mercado, inverteu a ordem para achar o que queria",FEA
ML_2022_00060,Capitão Milton Vargas,,,,,,,,,,,,,,,,IRI,Guima,"Milton Vargas é o CEC, presidente é o Guima. Apelido do CA do IRI",,TRUE,TRUE,TRUE,,2022,,,,,,,"||Pista: Capitão Milton Vargas | Explicação: Milton Vargas é o CEC, presidente é o Guima. Apelido do CA do IRI | Macro: IRI | Micro: Guima",||Pista: Capitão Milton Vargas,RI
ML_2019_00197,"Cara, certeza, sempre levo! E aviso: não esqueça o dorso de boi",,,,,,,,,,,,,,,,IME,Placa de lombada na frente do CCSL,"Cara, certeza, sempre levo = CCSL = Centro de Competência em Software Livre. Aviso + Dorso de boi = placa de lombada, pq lombada é sinônimo de dorso de boi",,TRUE,TRUE,TRUE,,2019,,,,,,,"||Pista: Cara, certeza, sempre levo! E aviso: não esqueça o dorso de boi | Explicação: Cara, certeza, sempre levo = CCSL = Centro de Competência em Software Livre. Aviso + Dorso de boi = placa de lombada, pq lombada é sinônimo de dorso de boi | Macro: IME | Micro: Placa de lombada na frente do CCSL","||Pista: Cara, certeza, sempre levo! E aviso: não esqueça o dorso de boi",IME
ML_2017_00277,Carlos chegou cansado no começo do caminho.,,,,,,,,,,,,,,,Paulinha,p1,paraciclos,"ccccc remete ao para ciclos, começo do caminho = p1",Externa,TRUE,TRUE,TRUE,,2017,,,,Paraciclos do P1,,,"||Pista: Carlos chegou cansado no começo do caminho. | Explicação: ccccc remete ao para ciclos, começo do caminho = p1 | Macro: p1 | Micro: paraciclos",||Pista: Carlos chegou cansado no começo do caminho.,P1
